id	stem	gloss	part_of_speech	strongs_list
1705	Japhia	(proper name) the name of a town in Joshua 19:12	Noun	
1706	Japhia	(proper name) the name of a man in Joshua 10:3	Noun	
1707	Japhletite	(proper name) a group of people in Joshua 16:3	Noun	H3311
1708	jar	(complex) a jar	Noun	G4713
1709	Jared	(proper name) the person (Luke 3)	Noun	G2391
1710	Jarmuth	(proper name) the name of a city in Joshua 12:11	Noun	H3412
1711	Jashar	(proper name) a man's name in Joshua 10:13	Noun	
1712	Jashen	(proper name) a man's name	Noun	
1713	Jashub	(proper name) man in Gen. 46:13	Noun	H3437
1714	Jason	(proper name) a man's name	Noun	G2394
1715	Jattir	(proper name) the name of a town in Joshua 15:48	Noun	
1716	Javan	(proper name) man in Gen 10	Noun	H0473,H1721,H3125
1717	jaw	(LDV) part of a person or animal's mouth	Noun	G4600
1718	Jazar	(proper name) the name of a region in Joshua 13:25	Noun	
1719	Jazer	(proper name) the name of a town in Joshua 21:39	Noun	
1720	Jebusite	(proper name) a Jebusite person	Noun	H2983
1721	Jeconiah	(proper name) a man's name	Noun	
1722	Jedaiah	(proper name) a man's name	Noun	
1723	Jedidiah	(proper name) a man's name	Noun	
1724	Jeduthun	(proper name) a man's name	Noun	
1725	Jegar-Sahadutha	(proper name) the Aramaic name for a rock pile in Gen. 31:47	Noun	
1726	Jehohanan	(proper name) a man's name	Noun	
1727	Jehoiachin	(proper name) king of Judah	Noun	
1728	Jehoiada	(proper name) a man's name	Noun	
1729	Jehoiakim	(proper name) king of Judah	Noun	
1730	Jehonathan	(proper name) a man's name	Noun	H3083
1731	Jehoram	(proper name) a man's name	Noun	H3088
1732	Jehoshaphat	(proper name) a man's name	Noun	H3092
1733	Jehovah-Jireh	(proper name) a name for God that means 'God will provide'	Noun	
1734	Jehovah-Nissi	(proper name) the name of an altar in Exodus 17:15	Noun	
1735	Jehud	(proper name) the name of a town in Joshua 19:45	Noun	
1736	Jekabzeel	(proper name) the name of a town	Noun	
1737	Jemuel	(proper name) Simeon's son	Noun	
1738	Jephthah	(proper name) a man's name in Judges 11:1	Noun	
1739	Jephunneh	(proper name) a man's name in Joshua 14:6	Noun	H3312
1740	Jerah	(proper name) man in Gen 11	Noun	
1741	Jerahmeel	(proper name) the name of a desert	Noun	
1742	Jerahmeelite	(proper name) a person who lived in Jerahmeel	Noun	
1743	Jeremiah	(proper name) the prophet	Noun	
1744	Jeremiah	(proper name) the name of the Bible book	Noun	
1745	Jeremiah	(proper name) a man's name - not the famous prophet	Noun	
1746	Jericho	(proper name) the place	Noun	
1747	Jeroboam	(proper name) a man's name	Noun	H5028
1748	Jeroham	(proper name) a man's name	Noun	
1749	Jerub-Baal	(proper name) a name given to Gideon in Judges 6:32	Noun	
1750	Jerub-Besheth	(proper name) a man's name	Noun	
1751	Jerusalem	(proper name) the city	Noun	G4262,H2982,H2777,G2411,H6077
1752	Jeshaiah	(proper name) a man's name	Noun	
1753	Jeshimon	(proper name) the name of a place	Noun	
1754	Jeshua	(proper name) a man's name	Noun	
1755	Jeshua	(proper name) the name of a town	Noun	
1756	Jesse	(proper name) father of David	Noun	H1732
1757	Jesus	(proper name) Jesus, God's Son, the Christ	Noun	G2424
1758	Jesus	(proper name) used for the regular man Jesus in Colossians 4:11	Noun	G2424
1759	Jesus-Barabbas	(proper name) a man's name	Noun	
1760	Jether	(proper name) a man's name in Judges 8:20	Noun	H3500
1761	Jetheth	(proper name) man in Gen. 36:40	Noun	H3509
1762	Jethro	(proper name) a man's name in Exodus 2:18	Noun	H3503
1763	Jetur	(proper name) a man's name	Noun	H3195
1764	Jeush	(proper name) man in Gen. 36:5	Noun	H3266
1765	Jew	(proper name) a Jewish person	Noun	H3062,H3064,G1672,G1675,G1445
1766	jewel	(LDV) a valuable stone such as a diamond	Noun	H3558
1767	jewel	DELETE	Noun	
1768	jewelry	(LDV) jewelry	Noun	G5554
1769	Jezebel	(proper name) a woman's name, the wife of King Ahab	Noun	G2403
1770	Jezer	(proper name) man in Gen. 46:24	Noun	
1771	Jezrahiah	(proper name) a man's name	Noun	
1772	Jezreel	(proper name) the name of a valley in Judges 6:33	Noun	
1773	Jidlaph	(proper name) man in Gen 22	Noun	H3044
1774	Joab	(proper name) a man's name	Noun	H3097
1775	Joanan	(proper name) the person (Luke 3)	Noun	
1776	Joanna	(proper name) the woman (Luke 8:3)	Noun	G2489
1777	Joash	(proper name) a man's name in Judges 6:11	Noun	H3135,H3101
1778	job	(LDV) the regular paid work that one does for an employer (John has a job.)	Noun	G2492
1779	Job	(proper name) the name of the Bible book	Noun	G2492
1780	Jobab	(proper name) man in Gen 11	Noun	H3103
1781	Jochebed	(proper name) a woman's name in Exodus 6:20	Noun	
1782	Joda	(proper name) the person (Luke 3)	Noun	
1783	Joed	(proper name) a man's name	Noun	
1784	Joel	(proper name) the name of the Bible book	Noun	H3100
1785	Joel	(proper name) a man's name	Noun	H3100
1786	Jogbehah	(proper name) the name of a city in Judges 8:11	Noun	
1787	Johanan	(proper name) a man's name	Noun	
1788	John	(proper name) a man's name	Noun	G3056
1789	John	(proper name) the name of the Bible book	Noun	G3056
1790	John	(proper name) used only for John the Baptist	Noun	G3056
1791	Joiada	(proper name) a man's name	Noun	
1792	Joiakim	(proper name) a man's name	Noun	
1793	Joiarib	(proper name) a man's name	Noun	
1794	Jokdeam	(proper name) the name of a town in Joshua 15:56	Noun	
1795	joke	(LDV) a short story that is intended to be funny	Noun	
1796	Jokmeam	(proper name) the name of a city	Noun	
1797	Jokneam	(proper name) the name of a city in Joshua 12:22	Noun	
1798	Jokshan	(proper name) man in Gen 25	Noun	H3370
1799	Joktan	(proper name) man in Gen 11	Noun	H3355
1800	Joktheel	(proper name) the name of a town in Joshua 15:38	Noun	
1801	Jonadab	(proper name) a man's name	Noun	
1802	Jonah	(proper name) Jonah	Noun	G2495
1803	Jonah	(proper name) the name of the Bible book	Noun	G2495
1804	Jonam	(proper name) the person (Luke 3)	Noun	
1805	Jonathan	(proper name) a man's name in Judges 18:31	Noun	H3129
1806	Joppa	(proper name) the name of a city in Joshua 19:46	Noun	
1807	Joram	(proper name) a man's name	Noun	H3141
1808	Jordan	(proper name) the Jordan river DELETE THIS CONCEPT use river-Jordan	Noun	H3603,H1020,H6159,H6160,H1567
1809	Jorim	(proper name) the person (Luke 3)	Noun	
1810	Josech	(proper name) the person (Luke 3)	Noun	
1811	Joseph	(proper name) a man's name	Noun	G2501,H3130
1812	Josheb-Basshebeth	(proper name) a man's name	Noun	
1813	Joshua	(proper name) Israelite leader after Moses	Noun	H3091,H5126
1814	Joshua	(proper name) the name of the Bible book	Noun	H3091,H5126
1815	Josiah	(proper name) a man's name	Noun	
1816	Jotham	(proper name) a man's name in Judges 9:5	Noun	H3147
1817	joy	(complex alternate) great happiness and pleasure	Noun	H1525
1818	Jozabad	(proper name) a man's name	Noun	H3107
1819	Jozadak	(proper name) a man's name	Noun	
1820	Jubal	(proper name) man in Gen. 4:21	Noun	H3106
1821	Judah	(proper name) Jacob's son	Noun	G2448
1822	Judah	(proper name) the land/country of Judah	Noun	G2448
1823	Judah	(proper name) the name of the tribe	Noun	G2448
1824	Judah	(proper name) the nation after the split	Noun	G2448
1825	Judas	(proper name) the disciple	Noun	G2455
1826	Judas-Iscariot	(proper name) another name for Judas, the disciple	Noun	
1827	Jude	(proper name) the name of the Bible book	Noun	
1828	Jude	(proper name) a man's name	Noun	
1829	Judea	(proper name) the country	Noun	
1830	judge	(LDV) a person who judges guilt or innocence	Noun	H1781,G2923,H8199,G1469,H6419
1831	judge	(LDV) an OT judge, or leader	Noun	H1781,G2923,H8199,G1469,H6419
1832	Judges	(proper name) the name of the Bible book	Noun	H2710
1833	Judith	(proper name) the woman in Gen 26	Noun	
1834	Julius	(proper name) a man's name	Noun	G2457
1835	Jumoke	(proper name) name of young boy, Kande's brother	Noun	
1836	June	(proper name) the month	Noun	
1837	justice	(complex alternate) fairness in the way people are treated	Noun	H6415
1838	Justus	(proper name) man's name in Acts 1:23	Noun	G2459
1839	Juttah	(proper name) the name of a town in Joshua 15:55	Noun	G2448
1840	Kabbon	(proper name) the name of a town in Joshua 15:40	Noun	
1841	Kabul	(proper name) the name of a town in Joshua 19:27	Noun	
1842	Kabzeel	(proper name) the name of a town in Joshua 15:21	Noun	
1843	Kadesh	(proper name) place in gen 14	Noun	
1844	Kadesh-Barnea	(proper name) the name of a place in Joshua 14:6	Noun	
1845	Kadmiel	(proper name) a man's name	Noun	H6934
1846	Kadmonite	(proper name) a person of the Kadmonite	Noun	
1847	Kain	(proper name) the name of a town in Joshua 15:57	Noun	
1848	Kalkol	(proper name) a man's name	Noun	
1849	Kallai	(proper name) a man's name	Noun	
1850	Kamon	(proper name) the name of a town in Judges 10:5	Noun	
1851	Kanah	(proper name) the name of a town in Joshua 19:28	Noun	
1852	Kande	(proper name) name of a young girl	Noun	
1853	Karka	(proper name) the name of a place in Joshua 15:3	Noun	
1854	Karkor	(proper name) the name of a city in Judges 8:10	Noun	
1855	Karmi	(proper name) a man's name	Noun	H3756
1856	Karshena	(proper name) a man's name	Noun	H3771
1857	Kartah	(proper name) the name of a town in Joshua 21:34	Noun	
1858	Kartan	(proper name) the name of a town in Joshua 21:32	Noun	
1859	Kattath	(proper name) the name of a town in Joshua 19:15	Noun	
1860	Kedar	(proper name) a man's name	Noun	H6938
1861	Kedemah	(proper name) a man's name	Noun	H6929
1862	Kedemoth	(proper name) the name of a town in Joshua 13:18	Noun	
1863	Kedesh	the name of a place in Judges 4:6	Noun	H6943
1864	Kedorlaomer	(proper name) man in Gen 14	Noun	H3540
1865	Keilah	the name of a town in Joshua 15:44	Noun	
1866	Kelita	(proper name) a man's name	Noun	H7042
1867	Kemuel	(proper name) man in Gen 22	Noun	H7055
1868	Kenan	(proper name) the person (Gen. 5:9)	Noun	H7018
1869	Kenani	(proper name) a man's name	Noun	
1870	Kenaz	(proper name) man in Gen. 36:11	Noun	H7073
1871	Kenite	(proper name) a person of the Kenites	Noun	H7017
1872	Kenizzite	a person of the Kenizzites	Noun	H7074
1873	Kephar-Ammoni	(proper name) the name of a town in Joshua 18:24	Noun	
1874	Kephirah	(proper name) the name of a town in Joshua 9:17 and 18:26	Noun	
1875	Keran	(proper name) man in Gen. 36:26	Noun	H3763
1876	Kereth	(proper name) the name of a region	Noun	
1877	Kerethite	(proper name) a person from Kereth	Noun	H3774
1878	Kerioth-Hezron	(proper name) the name of a town in Joshua 15:25	Noun	
1879	Keros	(proper name) a man's name	Noun	H7026
1880	Kerub	(proper name) the name of a town	Noun	
1881	Kesalon	(proper name) the name of a mountain in Joshua 15:10	Noun	
1882	Kesed	(proper name) man in Gen 22	Noun	H3777
1883	Kesil	(proper name) the name of a town in Joshua 15:30	Noun	
1884	Kesulloth	(proper name) the name of a town in Joshua 19:18	Noun	
1885	Keturah	(proper name) woman in Gen 25	Noun	H6989
1886	key	(LDV) something that unlocks a door	Noun	G2807
1887	Kezib	(proper name) town in Gen. 38:5	Noun	
1888	Kibzaim	(proper name) the name of a town in Joshua 21:22	Noun	
1889	Kileab	(proper name) a man's name	Noun	
1890	Kilion	(proper name) son of Naomi	Noun	
1891	kilogram	(LDV) the unit of weight	Noun	
1892	kilometer	(LDV) the unit of distance	Noun	
1893	Kimham	(proper name) a man's name	Noun	
1894	Kinah	(proper name) the name of a town in Joshua 15:22	Noun	
1895	kind	(LDV) a type of something (John ate three kinds of fruit.)	Noun	H1501,H3180,H1613,H5556,H3911
1896	king	(LDV) ruler of a people	Noun	H4428,H4430
1897	King-of-kings	(key term) a title for Jesus	Noun	
1898	kingdom	(complex) the region that a king rules	Noun	
1899	kingdom	(complex alternate) the reign or rule of God; used in 'kingdom of God'	Noun	
1900	kingdom	(complex) a nation	Noun	
1901	Kinnereth	(proper name) the name of a town in Joshua 19:35	Noun	G1082
1902	kinsman-redeemer	(key term) a relative that must protect and take care of one's family	Noun	
1903	Kiriath	(proper name) the name of a town in Joshua 18:28	Noun	
1904	Kiriath-Arba	(proper name) place in Gen 23	Noun	
1905	Kiriath-Baal	(proper name) the name of a town in Joshua 15:60	Noun	
1906	Kiriath-Jearim	(proper name) the name of a city in Judges 18:12	Noun	
1907	Kiriath-Sannah	(proper name) the name of a town in Joshua 15:49	Noun	
1908	Kiriath-Sepher	(proper name) name of a city in Judges 1:11	Noun	
1909	Kiriathaim	(proper name) the name of a town in Joshua 13:19	Noun	
1910	Kish	(proper name) great grandfather of Mordecai in Esther	Noun	H7027
1911	Kishion	(proper name) the name of a town in Joshua 19:20	Noun	
1912	Kishon	(proper name) the name of a river in Judges 4:7	Noun	
1913	Kislev	(proper name) the name of a month in the Jewish calendar	Noun	
1914	Kisloth-Tabor	(proper name) the name of a town in Joshua 19:12	Noun	
1915	Kitlish	(proper name) the name of a town in Joshua 15:40	Noun	
1916	Kitron	(proper name) the name of a town in Judges 1:30	Noun	
1917	Kittite	(proper name) descendants of Kittim (Gen. 10)	Noun	H3794
1918	knee	(LDV) the knee of a person	Noun	H1290,H0755
1919	knife	(LDV) sharp instrument for cutting	Noun	G3162,H8593,H7915
1920	knowledge	(LDV) information, skills, and understanding	Noun	H1847,H1843,H1844
1921	Kohath	(proper name) Levi's son	Noun	
1922	Kol-Hozeh	(proper name) a man's name	Noun	
1923	Kolaiah	(proper name) a man's name	Noun	
1924	Korah	(proper name) Moses' cousin	Noun	
1925	Korazin	(proper name) city (Matt 11:21)	Noun	
1926	Kue	(proper name) the name of a country	Noun	
1927	Laban	(proper name) the man in Gen 24	Noun	
1928	Lachish	(proper name) the name of a city	Noun	
1929	ladder	(complex) instrument used to climb to a higher position	Noun	
1930	Lahmas	(proper name) the name of a town in Joshua 15:40	Noun	
1931	Laish	(proper name) the name of a place in Judges 18:7	Noun	H3919
1932	lake	(LDV) a lake	Noun	H4792,G1082,G5085
1933	lake-Galilee	(proper name) the lake	Noun	
1934	lake-Gennesaret	(proper name) the lake	Noun	
1935	Lakkum	(proper name) the name of a town in Joshua 19:33	Noun	
1936	lamb	(complex) a young sheep	Noun	H2922,H2924,H0563,G0286,G0704
1937	Lamech	(proper name) father of Noah	Noun	G2984
1938	Lamentations	(proper name) the name of the Bible book	Noun	
1939	lamp	(LDV) something that provides light	Noun	G3087,H5216
1940	lampstand	(complex) a pole that holds lamps or candles	Noun	
1941	land	(LDV) generic term for a large area (land of Canaan)	Noun	G1092,G3625
1942	land	(LDV) a small plot of land that someone might own	Noun	G1092,G3625
1943	land	(LDV) as opposed to water (John got out of the boat and onto the land.)	Noun	G1092,G3625
1944	language	(LDV) the spoken or written means of communication of a people	Noun	G3072,G2162,G2271,H8193,G1446
1945	Laodice	(proper name) wife of Antiochus II Theos	Noun	
1946	Laodicea	(proper name) a city name, mentioned in Colossians 2:1	Noun	
1947	Lappidoth	(proper name) a man's name in Judges 4:4	Noun	H3941
1948	Lasea	(proper name) the name of a town	Noun	
1949	Lasha	(proper name) the city	Noun	
1950	Lasharon	(proper name) the name of a city in Joshua 12:18	Noun	
1951	law	(LDV) a law	Noun	G1378,G3551
1952	law	(LDV) the body or group of laws for a group of people 	Noun	G1378,G3551
1953	Law	(complex) all of the Jewish laws	Noun	G1378,G3551
1954	Law	(complex) the Pentateuch	Noun	G1378,G3551
1955	lawyer	(LDV) people who are experts in the law	Noun	H8614
1956	layer	(LDV) one of several different levels (a layer of stones)	Noun	H5073
1957	Lazarus	(proper name) the man in Luke 16:20	Noun	G2976
1958	lead	(LDV) the substance	Noun	H5777,G0635,G3329,G2609,G3919
1959	leader	(LDV) spiritual or political leader of a people	Noun	G2232
1960	leaf	(LDV) a leaf of a tree	Noun	H3712,H5929
1961	Leah	(proper name) Jacob's wife	Noun	H3812
1962	leather	(LDV) dried cow's skin	Noun	G4082,H4997,H5785
1963	Lebana	(proper name) a man's name	Noun	H3838
1964	Lebanon	(proper name) the place	Noun	H4706,H8303,H8149
1965	Lebaoth	(proper name) the name of a town in Joshua 15:32	Noun	
1966	Lebo-Hamath	(proper name) the name of a town in Judges 3:3	Noun	
1967	Lebonah	(proper name) the name of a place in Judges 21:19	Noun	
1968	leg	(LDV) the leg	Noun	H8243,H3767
1969	Legion	"(proper name) the name of the evil spirit, meaning ""many"""	Noun	G3003
1970	Lehabite	(proper name) a descendant of Lahabim (Gen. 10)	Noun	
1971	Lehi	(proper name) the name of a place in Judges 15:9	Noun	
1972	Lemuel	(proper name) a man's name	Noun	H3927
1973	length	(LDV) how long an object is (The length of the rope was 25 feet.)	Noun	G3372,H0754,H0753
1974	lentil	(complex) a small round dried seed like a bean used for food	Noun	H5742
1975	leopard	(complex) the animal	Noun	H5246,G3917
1976	leprosy	(complex) an infectious disease that destroys the skin and nerves	Noun	H6883
1977	Leshem	(proper name) the name of a city in Joshua 19:47	Noun	
1978	lesson	(LDV) something that provides information or experience that one can learn from and use (John's parents taught him a lesson.)	Noun	
1979	letter	(LDV) a written message that is sent to someone	Noun	H3793
1980	letter	(LDV) a character in an alphabet	Noun	H3793
1981	Letush	(proper name) the place	Noun	
1982	Letushite	(proper name) a person from Letush	Noun	
1983	Leum	(proper name) the place	Noun	H3817
1984	Leummite	(proper name) a person from Leum	Noun	
1985	Levi	(proper name) a man's name	Noun	G3017,H3878
1986	Levi	(proper name) the name of a tribe	Noun	G3017,H3878
1987	Leviticus	(proper name) the name of the Bible book	Noun	
1988	liar	(complex) a person who routinely lies (John is a liar.)	Noun	H0907
1989	Libnah	(proper name) the name of a city in Joshua 12:15	Noun	
1990	Libni	(proper name) a man's name in Exodus 6:17	Noun	H3846
1991	Libya	(proper name) the country	Noun	
1992	lie	(complex) something that you say or write that you know is untrue (John told many lies.)	Noun	G4295,H7901,H3456,G2990,G3873
1993	life	(LDV) abstract term referring to the state of having life	Noun	H3746,G0979,G2222,H2465,H2424
1994	life	(LDV) a particular person's life (My life was worthwhile)	Noun	H3746,G0979,G2222,H2465,H2424
1995	ligament	(complex) the strong tissue in our bodies that joins bones together	Noun	G0860,G4886,G1199
1996	light	(LDV) the light rays that comes from a source, the opposite of darkness	Noun	H5043,H6672,H0080,H7031,G1645
1997	light	DELETE THIS - use 'lamp'   a lamp that gives light 	Noun	
1998	light	(LDV) a light source, like the sun or moon.  Not a lamp.	Noun	H5043,H6672,H0080,H7031,G1645
1999	lightning	(simple) flash of light during storm	Noun	G0796,H1300
2000	lily	DELETE use 'flower-lily'	Noun	
2001	line	(LDV) a line of people or things next to each other	Noun	G3734,H2256,H2272,H4058,H0594
2002	linen	(complex) high quality cloth made from flax plants	Noun	G3608,G3607,H8473,H6593
2003	lion	(LDV) a lion	Noun	H7826,H3918,H0738,H0739
2004	lip	(LDV) part of the mouth	Noun	G5491,H8193
2005	liquid	(LDV) a fluid, not a solid or a gas	Noun	H8210,H1969,H6378,H8242,H2834
2006	list	(LDV) a list of items	Noun	H3188,G0583
2007	liter	(LDV) a unit of measure, about a quart	Noun	
2008	liver	(simple) an organ in a person's body	Noun	H3516
2009	livestock	(complex) farm animals	Noun	H4735
2010	Lo-Debar	(proper name) the name of a place	Noun	
2011	load	(LDV) a load of something that has to be carried, a burden	Noun	G1117,H0405,H5447,H5448,G5411
2012	loaf	(LDV) a loaf of bread	Noun	H3603,H4682,G0740
2013	locust	(complex) the insect	Noun	H1357,H0697,G0200,H2284,H1462
2014	Lod	(proper name) the name of a place	Noun	
2015	log	(biblical unit) liquid measure: 0.3 liters, 0.3 quarts	Noun	H1356,H3849
2016	Lord	(proper name) a title for God	Noun	H0136,G2634
2017	Lord	(proper name) a title for Jesus	Noun	H0136,G2634
2018	lord	(complex) an honorific title for a king or person of high rank	Noun	H0136,G2634
2019	Lord-of-lords	(kery term) a title for Jesus	Noun	
2020	lot	(complex) stones or sticks with marks used like dice to decide things	Noun	H7081,H6332,G3091,H3876,G2975
2021	Lot	(proper name) man in Genesis	Noun	H7081,H6332,G3091,H3876,G2975
2022	Lotan	(proper name) man in Gen. 36:20	Noun	H3877
2023	love	(LDV) a strong feeling of caring about someone	Noun	H5690,H5691,G0026,G0025
2024	Lower-Beth-Horon	(proper name) the name of a city in Joshua 16:3	Noun	
2025	Lucius	(proper name) a man's name	Noun	G3066
2026	Lucius-Cornelius-Scipio-Asiaticus	(proper name) a Roman commander	Noun	
2027	Lud	(proper name) man in Gen 11	Noun	H3865
2028	Ludite	(proper name) descendants of Ludim (Gen. 10)	Noun	H3866
2029	Luke	(proper name) the writer of the 3rd gospel	Noun	
2030	Luke	(proper name) the name of the Bible book	Noun	
2031	Luz	(proper name) city in Gen 28	Noun	H3870
2032	Lycaonia	(proper name) the name of a region	Noun	
2033	Lycia	(proper name) the name of a region	Noun	G3073
2034	Lydda	(proper name) the name of a town	Noun	
2035	Lydia	(proper name) a woman's name	Noun	G3070
2036	lyre	(complex) a stringed instrument, like a small harp	Noun	H7030,H5443,G2788,G2790
2037	lyre	DELETE	Noun	
2038	Lysanias	(proper name) the person (Luke 3:1)	Noun	G3078
2039	Lysias	(proper name) a man's name	Noun	G3079
2040	Lystra	(proper name) the name of a city	Noun	
2041	Maacah	(proper name) man in Gen 22	Noun	
2042	Maai	(proper name) a man's name	Noun	
2043	Maakah	(proper name) a woman's name	Noun	H4602
2044	Maakah	(proper name) a place	Noun	H4602
2045	Maarath	(proper name) the name of a town in Joshua 15:59	Noun	
2046	Maaseiah	(proper name) a man's name	Noun	
2047	Maath	(proper name) the person (Luke 3)	Noun	
2048	Maaziah	(proper name) a man's name	Noun	
2049	Macedonia	(proper name) the place	Noun	G3110
2050	machine	(LDV) a mechanical device that does work (e.g., sewing machine)	Noun	H4284,H2810
2051	Machpelah	(proper name) name of the field in Gen 23	Noun	
2052	Madai	(proper name) man in Gen 10	Noun	H4075,H4077
2053	Madmannah	(proper name) the name of a town in Joshua 15:31	Noun	
2054	Madon	(proper name) the name of a city in Joshua 12:19	Noun	
2055	Magadan	(proper name) the name of a region	Noun	
2056	Magdalene	(proper name) Mary-Magdalene in Luke 8:2	Noun	G3094
2057	Magdiel	(proper name) man in Gen. 36:43	Noun	H4025
2058	maggot	(simple) the larva of a fly	Noun	H7415
2059	magic	(LDV) the power to make impossible things happen by saying special words or doing special actions	Noun	H3785
2060	magician	(complex) someone who does magic	Noun	H3786
2061	Magog	(proper name) man in Gen 10	Noun	G3098,H4031
2062	Magog	(key term) used to represent all the hostile nations united against God	Noun	G3098,H4031
2063	Magpiash	(proper name) a man's name	Noun	
2064	Mahalalel	(proper name) the person (Luke 3)	Noun	G3121
2065	Mahalath	(proper name) the woman in Gen 28	Noun	
2066	Mahanaim	(proper name) place in Gen 32	Noun	
2067	Mahaneh-Dan	(proper name) the name of a city in Judges 13:25	Noun	
2068	Maharai	(proper name) a man's name	Noun	
2069	Mahlah	(proper name) a woman's name in Joshua 17:3	Noun	
2070	Mahli	a(proper name)  man's name in Exodus 6:19	Noun	
2071	Mahlon	(proper name) son of Naomi	Noun	
2072	Mahol	(proper name) a man's name	Noun	
2073	Makaz	(proper name) the name of a city	Noun	
2074	Makir	(proper name) man in Gen. 50:23	Noun	H4354
2075	Makkedah	(proper name) the name of a city in Joshua 12:16	Noun	
2076	Malachi	(proper name) the name of the Bible book	Noun	
2077	Malchijah	(proper name) a man's name	Noun	
2078	Malki-Shua	(proper name) a man's name	Noun	
2079	Malkiel	(proper name) man in Gen. 46:17	Noun	H4440
2080	Malkijah	(proper name) a man's name	Noun	H4441
2081	Malluk	(proper name) a man's name	Noun	H4409
2082	Malta	(proper name) the name of an island	Noun	
2083	Mamre	(proper name) a man's name	Noun	H4471
2084	Mamre	(proper name) place in Genesis 18	Noun	H4471
2085	man	(LDV) male human	Noun	H0582,H0606,G0435,H7916,H0376
2086	man	(LDV) emphasizes grown man, not a boy	Noun	H0582,H0606,G0435,H7916,H0376
2087	Manaen	(proper name) a man's name	Noun	
2088	manager	(LDV) a person whose job is to direct other people or an organization	Noun	G3623,G4031,G2012
2089	Manahath	(proper name) man in Gen. 36:23	Noun	
2090	Manasseh	(proper name) son of Israel and son of Hezekiah, descendant of David	Noun	
2091	Manasseh	(proper name) the name of a tribe	Noun	
2092	mandrake	(complex) a plant	Noun	H1736
2093	manger	(complex) feeding trough for animals	Noun	H0018
2094	manna	(biblical term) the special bread that God gave to the Israelites in the desert	Noun	G3131
2095	Manoah	(proper name) a man's name in Judges 13:2	Noun	
2096	manure	(complex) solid waste material from animals	Noun	H1828
2097	manuscript	(complex) a document written by hand	Noun	G5498,G2777
2098	Maok	(proper name) a man's name	Noun	H4582
2099	Maon	(proper name) the name of a town in Joshua 15:55	Noun	H4586
2100	Maonite	(proper name) a person from Maon (possibly Moab) in Judges 10:12	Noun	
2101	Mara	(proper name) Mara, the name Naomi wanted to be called in Ruth	Noun	H4755
2102	Marah	(proper name) the name of a place in Exodus 15:23	Noun	
2103	Maralah	(proper name) the name of a town in Joshua 19:11	Noun	
2104	marble	(complex) a type of expensive stone often used in building	Noun	G3139
2105	March	(proper name) the month	Noun	H6807,G4748
2106	Mareshah	(proper name) the name of a town in Joshua 15:44	Noun	
2107	mark	(LDV) a mark on something	Noun	H8420,G4742,H8376,H8427,G3724
2108	Mark	(proper name) a man's name, the writer of the second gospel	Noun	H8420,G4742,H8376,H8427,G3724
2109	Mark	(proper name) the name of the Bible book	Noun	H8420,G4742,H8376,H8427,G3724
2110	market	(LDV) the marketplace	Noun	G0059,G0060,G5410,G3111
2111	marriage	(LDV) the relationship between two people who are married	Noun	H5702,H3259,H2860,H2859,G4801
2112	Marsena	(proper name) a man's name	Noun	H4826
2113	Martha	(proper name) the person (Luke 10:38)	Noun	G3136
2114	Mary	(proper name) a woman's name	Noun	
2115	Mary-Magdalene	(proper name) the female disciple of Jesus who met him at the tomb	Noun	
2116	mason	(complex) a person who builds things with stones	Noun	
2117	Masrekah	(proper name) city in Gen. 36:36	Noun	
2118	Massa	(proper name) a man's name	Noun	H4854
2119	Massah	(proper name) the name of a place (Ex 17:7)	Noun	
2120	master	(simple) the owner or boss of a slave, a slave master	Noun	H4756,H1167,H1376
2121	master	(simple) person in authority, a respected person such as a teacher, title used by disciples for Jesus	Noun	H4756,H1167,H1376
2122	master	(simple) the boss of workers, an employer	Noun	H4756,H1167,H1376
2123	mat	(complex) a mat that a person sits on or sleeps on	Noun	
2124	Matred	(proper name) woman in Gen. 36:39	Noun	H4308
2125	Matri	(proper name) a man's name	Noun	
2126	Mattaniah	(proper name) a man's name	Noun	
2127	Mattatha	(proper name) the person (Luke 3)	Noun	
2128	Mattathias	(proper name) the person (Luke 3:25)	Noun	
2129	Mattenai	(proper name) a man's name	Noun	H4982
2130	Matthan	(proper name) a man's name	Noun	
2131	Matthat	(proper name) the person (Luke 3:24)	Noun	G3158
2132	Matthew	(proper name) the disciple	Noun	
2133	Matthew	(proper name) the name of the Bible book	Noun	
2134	Matthias	(proper name) man's name in Acts 1:23	Noun	
2135	Mattithiah	(proper name) a man's name	Noun	
2136	Me-Jarkon	(proper name) the name of a town in Joshua 19:46	Noun	
2137	Me-Zahab	(proper name) man in Gen. 36:39	Noun	
2138	meal	(LDV) a meal	Noun	H6182
2139	meaning	(LDV) the meaning of a word, dream, message, etc.	Noun	H1884,H0637,H1578
2140	meat	(LDV) the muscles of animal that people eat	Noun	G4561,G2907,G3111,H6564
2141	Medan	(proper name) man in Gen 25	Noun	H4091
2142	Medeba	(proper name) the name of a plain in Joshua 13:9	Noun	
2143	Media	(proper name) the name of a country	Noun	G3370
2144	medicine	(LDV) substance meant to help cure an injury or disease	Noun	H4832
2145	meeting	(LDV) an assembly of people	Noun	G4877
2146	Megiddo	(proper name)  the name of a city in Judges 1:27	Noun	
2147	Mehetabel	(proper name) woman in Gen. 36:39	Noun	H4105
2148	Mehida	(proper name) a man's name	Noun	
